IssueKey,Summary,IssueType,Status
TSC-1317,[이슈] ORA-15001으로 모듈 다운 후 재시작 시 추출 누락 발생 (250514),버그,해결됨
TSC-1303,[개선] post 배치성 데이터 적용 지연 개선,버그,열림
TSC-1285,[이슈] Extract 모듈이 다음 Redo Log 파일 open 후 hang 발생 (250507),버그,종료됨
TSC-1281,[이슈] 한 오브젝트에 SUPPLEMENTAL LOGGING이 여러개 설정된 경우의 추출동작 오류(250507),버그,종료됨
TSC-1272,[이슈] 모듈 재시작 시 추출 누락 발생,버그,종료됨
TSC-1266,[이슈] 테이블 CREATE-DROP 연속 발생 시 메타 정보 수집 실패하며 추출 불가 (4/28),버그,진행 중
TSC-1265,[이슈] AFO Switchover 실패 (2025.04.26),버그,종료됨
TSC-1264,[이슈] RDO Core (2025.04.26),버그,종료됨
TSC-1260,[개발요청] 웹매니저 통계 데이터 사이즈 조절 기능 추가,버그,해결됨
TSC-1259,[이슈] post 임시테이블 생성 쿼리 적용 도중 core 발생하면서 중단(250425),버그,종료됨
TSC-1258,[이슈] pk 제약조건 제거 시 추출 실패하고 모듈 중단(250425),버그,종료됨
TSC-1231,[개발요청] AFC 이기종 DB간의 DDL 복제 지원,버그,열림
TSC-1230,[이슈] extract 모듈 redo 읽지 못하고 hang걸림 현상 발생(250416),버그,종료됨
TSC-1222,[이슈] dbpool_database 설정 시 AFO Manager 동기화 정보 모니터링 실패,버그,종료됨
TSC-1206,[이슈] --start-dsn 옵션으로 POST 실행 시 올바르지 않은 지점으로 시작함 (250407),버그,종료됨
TSC-1187,[이슈] 매핑 설정하지 않은 as select 절의 스키마에 다른 스키마 매핑이 반영됨 (03/31),버그,종료됨
TSC-1182,[이슈] 사이즈가 큰 lob 데이터 추출 시 일부가 미추출됨,버그,종료됨
TSC-1175,[이슈] 💣추출 모듈 느리게동작 (03/28),버그,종료됨
TSC-1174,[이슈] DATE 타입 연도가 0000으로 추출됨(03/28),버그,종료됨
TSC-1167,[이슈] AFO-U 6.5.3 패치 후 agent 기동실패,버그,종료됨
TSC-1164,[이슈] Large TX temp 파일 trace로 추출 중 모듈 중단 (03/22),버그,종료됨
TSC-1163,[이슈] 업그레이드 후 타겟에 입력되는 Json header format이 기존과 다름(03/19),버그,종료됨
TSC-1162,[개발요청] AFC Web Manager 파이프라인 1:1:1:1 구성 가능하도록 개선,버그,열림
TSC-1160,[개선] 웹매니저 Summary 조회 날짜를 지정 가능하도록 개선,버그,종료됨
TSC-1145,[이슈] Extract 모듈이 원격지 DB 추출 실패 (250318),버그,열림
TSC-1144,[이슈] Long 트랜잭션 관리 config 설정 시 올바르게 동작하지 않음 (250318),버그,종료됨
TSC-1143,[개선] 웹매니저 파이프라인 그래프 색깔이 항목마다 동일하게 표시되도록 개선,버그,종료됨
TSC-1125,[개발요청] DDL synonym 복제 기능,버그,열림
TSC-1123,[개발요청] Recv 모듈 admgr delete -r 명령어로 체크포인트 초기화 기능,버그,열림
TSC-1122,[이슈] clob 타입에 null 값이 존재할 경우 post 모듈이 적용에 실패함,버그,종료됨
TSC-1114,[이슈] 우편정보 - extract 모듈 중지 후 pmon이 재기동하지 않음 (2025.03.05),버그,종료됨
TSC-1112,[이슈] trace header와 추출 데이터의 컬럼 개수가 달라 적용 시 WARNING 로그 발생 (250304),버그,Confirmed
TSC-1108,[이슈] Extract 모듈 비정상 종료,버그,종료됨
TSC-1104,[개발요청] 파이프라인별 lag(복제 지연) 알람 기준 설정기능 요청,버그,종료됨
TSC-1100,[이슈] HP-UX syslog에 프로세스 비정상종료 로그 발생,버그,종료됨
TSC-1084,[이슈] extract 모듈 core 파일 생성되면서 중단됨 (250219),버그,종료됨
TSC-1083,[기능개발요청] 컬럼 자동 맵핑 기능 옵션 추가 및 개선,버그,종료됨
TSC-1082,[기능개발요청] 동기화 오류 상황 Alert,버그,종료됨
TSC-1074,[이슈] extract 모듈 Timestamp 값 음수로 추출,버그,종료됨
TSC-1024,[개선] NOSUP 데이터 fetch 시 이미 삭제된 경우 skip하도록 개선,버그,해결됨
TSC-1023,[이슈] AFF 복제 모듈 동작 중 연결끊김으로 실패,버그,종료됨
TSC-1019,[이슈] AFF 로그 과다생성,버그,종료됨
TSC-1018,[이슈] AFC 추출 진행되지않음,버그,종료됨
TSC-1014,[개발요청] CREATE-DROP 동시 발생 후 CREATE 추출 실패 시 모듈 종료되지 않도록 개선,버그,종료됨
TSC-1007,[이슈] mysql 인증방식 변경 후 ARKDV 실행시 오류 발생,버그,종료됨
